詞彙,漢語拼音,詞類
花樣,huāyàng ,N
划不來,huábùlái ,Vs
划得來,huádelái ,Vs
華裔,huáyì ,N
化工,huàgōng ,N
化石,huàshí ,N
話劇,huàjù ,N
畫面,huàmiàn ,N
畫展,huàzhăn ,N
劃時代,huàshídài ,Vs-attr
懷,huái ,Vst
懷疑,huáiyí,Vst
歡送,huānsòng ,V
幻象,huànxiàng ,N
換取,huànqŭ ,V
患,huàn ,Vst
患者,huànzhě ,N
荒唐,huāngtáng ,Vs
慌張,huāngzhāng ,Vs
惶恐,huángkǒng ,Vs
恍惚,huănghū ,Vs
灰,huī ,N
灰塵,huīchén ,N
輝煌,huīhuáng ,Vs
回合,huíhé ,N
回絕,huíjué ,V
回升,huíshēng ,Vp
回憶,huíyì,N
迴/回響,huíxiăng ,N
毀,huǐ ,V
毀損,huǐsŭn ,V
悔恨,huǐhèn ,Vs
匯,huì ,V
匯票,huìpiào ,N
會見,huìjiàn ,V
會談,huìtán ,Vi
會意,huìyì ,Vp
繪畫,huìhuà ,N
賄賂,huìlù ,V
彗星,huìxīng ,N
昏,hūn ,Vs
渾身,húnshēn ,N
混,hùn ,Vs
混淆,hùnyáo ,Vs
混濁,hùnzhuó ,Vs
活/活兒,huó/huór,N
活期,huóqí ,Vs-attr
火箭,huǒjiàn ,N
火力,huǒlì ,N
火焰,huǒyàn ,N
火藥,huǒyào ,N
伙伴,huǒbàn ,N
獲,huò ,Vst
貨幣,huòbì ,N
貨品,huòpǐn ,N
豁達,huòdá ,Vs
積,jī,Vst
基層,jīcéng ,N
基地,jīdì ,N
基督,Jīdū,N
基因,jīyīn ,N
機動,jīdòng ,Vs-attr
機警,jījǐng ,Vs
機率,jīlǜ,N
機密,jīmì ,N
機器人,jīqìrén ,N
機制,jīzhì ,N
肌膚,jīfū ,N
飢餓,jīè ,Vs
畸形,jīxíng,Vs
激增,jīzēng ,Vs
及早,jízăo ,Adv
吉利,jílì ,Vs
吉祥,jíxiáng ,Vs
汲取,jíqŭ ,V
即,jí ,Adv
即,jí ,Vst
即日,jírì ,N
即時,jíshí ,Adv
嫉妒,jídù ,Vst
極端,jíduān ,N
極端,jíduān ,Vs
極力,jílì ,Adv
極為,jíwéi,Adv
集合,jíhé  ,N
集結,jíjié ,V
集權,jíquán ,Vs
集體,jítǐ ,Adv
集團,jítuán ,N
急救,jíjiù ,Vi
急躁,jízào ,Vs
急診,jízhěn ,Vi
籍貫,jíguàn ,N
擊,jí ,V
擊落,jíluò ,V
